timestamp,total_pss_kb,java_heap_kb,native_heap_kb,graphics_kb
2026-06-01 21:01:47,102224,22800,18208,4620
2026-06-01 21:02:51,107743,19824,23704,4620
2026-06-01 21:03:55,115347,27340,20476,4620
2026-06-01 21:04:57,114495,25752,19724,4620
2026-06-01 21:05:59,118575,25476,23600,4620
2026-06-01 21:07:00,120747,28144,22884,4624
2026-06-01 21:08:02,122267,28644,23188,4640
2026-06-01 21:09:03,116635,25888,20788,4740
2026-06-01 21:10:05,116735,26604,20152,4740
2026-06-01 21:11:06,122671,27912,24820,4740
2026-06-01 21:12:08,116359,25956,20460,4740
2026-06-01 21:13:09,117531,26388,21208,4740
2026-06-01 21:14:10,117503,26684,20840,4740
2026-06-01 21:15:12,120543,26348,24256,4740
2026-06-01 21:16:13,117795,27036,20764,4740
2026-06-01 21:17:14,123227,26660,26088,5264
2026-06-01 21:18:16,124475,27232,26724,5264
2026-06-01 21:19:18,130157,32820,26760,5264
2026-06-01 21:20:20,133909,36376,26900,5276
2026-06-01 21:21:23,132009,34800,26568,5264
2026-06-01 21:22:25,135561,36964,27996,5264
2026-06-01 21:23:26,132017,35348,26032,5264
2026-06-01 21:24:29,131517,35152,25768,5264
2026-06-01 21:25:31,132301,35496,26168,5264
2026-06-01 21:26:32,134153,35508,27740,5264
2026-06-01 21:27:35,130817,34756,25444,5264
2026-06-01 21:28:37,131093,34708,25700,5276
2026-06-01 21:29:38,132785,35768,26376,5268
2026-06-01 21:30:40,128981,34116,24168,5264
2026-06-01 21:31:42,134081,35628,27772,5264
2026-06-01 21:32:43,133277,36212,26344,5264
2026-06-01 21:33:45,130809,34708,25360,5264
2026-06-01 21:34:47,129073,34156,24212,5264
2026-06-01 21:35:49,132161,34804,26584,5276
2026-06-01 21:36:50,131809,34372,26596,5276
2026-06-01 21:37:53,130593,34812,24984,5264
2026-06-01 21:38:54,130377,34316,25204,5264
2026-06-01 21:39:56,131125,34336,25956,5264
2026-06-01 21:40:58,129369,34192,24292,5268
2026-06-01 21:42:00,133069,35604,26552,5264
2026-06-01 21:43:02,130317,34324,25116,5264
2026-06-01 21:44:04,130941,34476,25548,5264
2026-06-01 21:45:06,131176,34972,25248,5264
2026-06-01 21:46:08,130164,34212,24992,5264
2026-06-01 21:47:09,130788,34420,25404,5264
2026-06-01 21:48:12,131496,35404,25148,5264
2026-06-01 21:49:13,132760,35060,26708,5264
2026-06-01 21:50:15,132792,35044,26716,5264
2026-06-01 21:51:18,130140,34460,24608,5264
2026-06-01 21:52:19,131464,34484,25908,5264
2026-06-01 21:53:21,135256,34748,29464,5264
2026-06-01 21:54:23,129272,34072,24116,5264
2026-06-01 21:55:25,130630,34396,25192,5264
2026-06-01 21:56:26,133422,35060,27300,5284
2026-06-01 21:57:29,129698,34268,24376,5264
2026-06-01 21:58:31,133378,34892,27408,5264
2026-06-01 21:59:32,131730,34452,26176,5284
2026-06-01 22:00:34,131242,34572,25536,5264
2026-06-01 22:01:37,133442,35656,26632,5264
2026-06-01 22:02:38,130810,34360,25232,5276
2026-06-01 22:03:40,131174,34468,25480,5264
2026-06-01 22:04:43,133294,35432,26624,5264
2026-06-01 22:05:44,132638,35148,26244,5264
2026-06-01 22:06:46,131202,34684,25264,5264
2026-06-01 22:07:49,131918,34828,25840,5264
2026-06-01 22:08:50,131026,34328,25432,5264
2026-06-01 22:09:52,138626,36700,30640,5264
2026-06-01 22:10:55,136190,37132,27724,5264
2026-06-01 22:11:56,131702,34460,25896,5264
2026-06-01 22:12:57,131702,34452,25920,5264
2026-06-01 22:14:00,130838,34300,25128,5264
2026-06-01 22:15:01,135765,35948,28436,5264
2026-06-01 22:16:03,136797,37300,28044,5276
2026-06-01 22:17:06,136825,34496,30856,5264
2026-06-01 22:18:07,131337,34332,25532,5264
2026-06-01 22:19:09,133353,35124,26760,5264
2026-06-01 22:20:10,134329,35668,27232,5264
2026-06-01 22:21:12,131481,34740,25264,5264
2026-06-01 22:22:14,133233,35460,26292,5264
2026-06-01 22:23:15,140041,36220,32332,5276
2026-06-01 22:24:17,131493,34712,25296,5264
2026-06-01 22:25:19,135729,34276,29960,5264
2026-06-01 22:26:21,139417,36260,31660,5264
2026-06-01 22:27:23,137829,37036,29292,5264
2026-06-01 22:28:25,135093,35896,27740,5264
2026-06-01 22:29:27,133209,35240,26452,5264
2026-06-01 22:30:28,131953,34528,25908,5264
2026-06-01 22:31:30,135297,36768,27008,5264
2026-06-01 22:32:32,136585,38016,27000,5264
2026-06-01 22:33:34,136205,34956,29676,5264
2026-06-01 22:34:36,131445,34900,24980,5264
2026-06-01 22:35:38,134129,34644,27880,5264
2026-06-01 22:36:40,137341,34760,30980,5264
2026-06-01 22:37:43,129609,34292,23720,5264
2026-06-01 22:38:45,135597,34808,29468,5264
2026-06-01 22:39:49,131418,30944,25752,5264
2026-06-01 22:40:53,132781,31188,26616,5264
2026-06-01 22:41:56,131961,31212,26424,5264
2026-06-01 22:42:58,133536,31228,28428,5280
2026-06-01 22:44:02,136936,30364,27384,5264
2026-06-01 22:45:05,134047,29396,24756,5264
2026-06-01 22:46:08,133539,31440,22996,5264
2026-06-01 22:47:11,137296,30028,28908,5264
2026-06-01 22:48:14,134661,29908,26404,5264
2026-06-01 22:49:16,133311,29284,27624,5264
2026-06-01 22:50:18,120919,24752,20088,5264
2026-06-01 22:51:21,134371,29700,27888,5264
2026-06-01 22:52:25,131149,30092,23832,5264
2026-06-01 22:53:28,135197,30120,27564,5264
2026-06-01 22:54:32,131950,30596,23868,5264
