timestamp,total_pss_kb,java_heap_kb,native_heap_kb,graphics_kb
2026-06-02 08:39:27,98343,20824,18524,4660
2026-06-02 08:40:32,105754,20620,23132,4660
2026-06-02 08:41:35,116914,21796,29840,4660
2026-06-02 08:42:37,112944,25876,19896,4660
2026-06-02 08:43:39,114224,26740,19788,4660
2026-06-02 08:44:40,115772,25476,22232,4748
2026-06-02 08:45:41,118241,27220,22908,4748
2026-06-02 08:46:43,120777,25096,27568,4748
2026-06-02 08:47:45,117281,25924,23240,4748
2026-06-02 08:48:46,115085,26896,20068,4748
2026-06-02 08:49:47,114777,26616,20028,4764
2026-06-02 08:50:49,117313,26128,23068,4748
2026-06-02 08:51:51,122053,29496,24456,4748
2026-06-02 08:52:52,112933,25636,19168,4748
2026-06-02 08:53:53,115397,26152,21136,4748
2026-06-02 08:54:55,118021,26068,23804,4748
2026-06-02 08:55:57,129995,33088,28772,4748
